QD,Qpairs,IO_Size,Run_ID,IOPS,Cycles,Instructions,LLC_Misses,Dram_Read_Bytes,Dram_Write_Bytes,Energy_Joules,Cycles_Per_IO,Instr_Per_IO,LLC_Misses_Per_IO,Dram_Read_Bytes_Per_IO,Dram_Write_Bytes_Per_IO,Energy_Per_IO,p50_Latency,p99_Latency,p99.9_Latency,Polls,Completions,Scans_Per_Completion,Completions_Per_Call,MMIO_Writes_Per_IO,Completions_Per_Poll_Hist,Submit_Logic_ns,Completion_Logic_ns,Submit_Preamble_ns,Tracker_Alloc_ns,Addr_Xlate_ns,Cmd_Construct_ns,Fence_ns,Doorbell_ns,CQE_Detect_ns,Tracker_Lookup_ns,State_Dealloc_ns
16,1,4096,1,588072.73,159468191153,384744427419,17667704,7316.14,73007.28,1042.43,9039.028848977008,21808.21111582576,1.0014466521286691,434.8401382620367,4339.2411475635,5.908736265779009e-05,18.788,98.909,122.667,1056570187,17642182,59.888861083056504,0.016697595878691966,1.9894229182616014,"0:1039021299, 1:17497505, 2:37384, 3:7651, 4:2015, 5:1269, 6:396, 7:206, 8:203, 9:244, 10:312, 11:363, 12:405, 13:413, 14:303, 15:175, 16:44, 17:0, 18:0, 19:0, 20:0, 21:0, 22:0, 23:0, 24:0, 25:0, 26:0, 27:0, 28:0, 29:0, 30:0, 31:0, 32+:0",175.0,31.625,12.166666666666666,39.416666666666664,45.083333333333336,13.458333333333334,10.583333333333334,36.791666666666664,7.0,5.791666666666667,17.625
16,1,4096,2,587635.87,159453871754,375543896597,17647126,8918.08,72342.96,1182.09,9044.936379507715,21302.52853108961,1.00102387101273,530.4466666906044,4302.953325214814,6.705342885212231e-05,18.788,98.909,122.667,1029546268,17629076,58.40046681970173,0.017123150797531714,1.9878093895119096,"0:1012024641, 1:17462878, 2:41540, 3:9389, 4:2637, 5:1779, 6:515, 7:244, 8:260, 9:260, 10:306, 11:394, 12:442, 13:430, 14:341, 15:164, 16:48, 17:0, 18:0, 19:0, 20:0, 21:0, 22:0, 23:0, 24:0, 25:0, 26:0, 27:0, 28:0, 29:0, 30:0, 31:0, 32+:0",179.375,33.5,10.75,41.541666666666664,46.25,13.041666666666666,12.208333333333334,36.583333333333336,7.25,5.958333333333333,18.833333333333332
16,1,4096,3,587591.17,159525498893,384993988281,17661777,11945.24,73587.50,1215.53,9049.6877782671,21840.241307063887,1.0019311556366648,710.5559453431995,4377.311433503445,6.895554040859168e-05,18.788,98.909,123.636,1057076577,17627735,59.96667053367889,0.016675929997453723,1.9900391514279108,"0:1039536633, 1:17490340, 2:35499, 3:8102, 4:2201, 5:1241, 6:320, 7:179, 8:199, 9:173, 10:274, 11:320, 12:337, 13:348, 14:264, 15:116, 16:31, 17:0, 18:0, 19:0, 20:0, 21:0, 22:0, 23:0, 24:0, 25:0, 26:0, 27:0, 28:0, 29:0, 30:0, 31:0, 32+:0",127.25,31.291666666666668,8.583333333333334,27.0,41.791666666666664,9.416666666666666,11.5,12.208333333333334,9.916666666666666,4.625,15.5
32,1,4096,1,606492.73,159485926840,383585398436,18184541,7754.79,74603.77,1099.98,8765.476152258798,21082.165235297492,0.9994371518132901,446.9131162841804,4299.459216464695,6.045579474629482e-05,46.788,128.000,153.212,1042178921,18194782,57.27900015509941,0.01745840530198173,1.9863382368985694,"0:1024108419, 1:18025275, 2:25833, 3:10628, 4:2660, 5:1900, 6:621, 7:239, 8:202, 9:140, 10:152, 11:173, 12:160, 13:160, 14:159, 15:148, 16:154, 17:159, 18:165, 19:155, 20:162, 21:135, 22:156, 23:162, 24:149, 25:136, 26:130, 27:127, 28:118, 29:74, 30:48, 31:21, 32+:1",135.225,32.85,10.3,29.8,35.775,10.625,7.15,22.475,11.375,5.25,14.825
32,1,4096,2,605930.23,159457956764,385777546637,18175745,8346.91,75480.47,1055.59,8772.074675110147,21222.330423366842,0.9998810699157009,481.48389956601665,4354.022151511845,5.806994203496553e-05,46.788,128.000,153.212,1048869951,18177907,57.70025949632155,0.017330944587237964,1.9884484060153265,"0:1030797030, 1:18033566, 2:23095, 3:9160, 4:2181, 5:1503, 6:427, 7:219, 8:146, 9:122, 10:127, 11:127, 12:130, 13:143, 14:135, 15:119, 16:137, 17:129, 18:144, 19:126, 20:139, 21:119, 22:122, 23:113, 24:123, 25:120, 26:115, 27:121, 28:89, 29:70, 30:33, 31:16, 32+:5",134.125,32.1,11.05,25.0,34.25,14.35,7.625,22.4,10.925,5.525,14.4
32,1,4096,3,606164.63,159451127989,384902145166,18188719,5022.12,74009.76,1037.04,8768.307051556825,21165.98506503643,1.000207869821328,289.584393441102,4267.534718071558,5.7027411843544885e-05,46.788,128.000,153.212,1046366856,18184939,57.540300575107786,0.01737912367514821,1.9906448517129747,"0:1028266966, 1:18063758, 2:23328, 3:7448, 4:1701, 5:1124, 6:370, 7:166, 8:102, 9:86, 10:83, 11:98, 12:96, 13:102, 14:84, 15:107, 16:72, 17:111, 18:86, 19:100, 20:100, 21:94, 22:71, 23:91, 24:92, 25:103, 26:104, 27:78, 28:61, 29:40, 30:20, 31:7, 32+:7",131.25,38.0,10.3,26.225,35.4,10.425,6.9,22.525,13.8,5.425,17.475
64,1,4096,1,607899.87,159524018842,368277794326,18240343,7528.64,75350.56,1015.54,8747.274933178276,20193.994247002112,1.000183522548431,432.8756322232256,4332.445341837847,5.568570582739774e-05,102.303,183.273,216.242,979728375,18236996,53.722026094648484,0.018614338897758268,1.989286492198131,"0:961589047, 1:18099110, 2:25679, 3:8550, 4:1945, 5:1206, 6:320, 7:173, 8:131, 9:106, 10:113, 11:103, 12:115, 13:125, 14:115, 15:105, 16:117, 17:116, 18:119, 19:89, 20:94, 21:107, 22:96, 23:90, 24:62, 25:78, 26:74, 27:69, 28:51, 29:46, 30:38, 31:34, 32+:152",92.98611111111111,25.375,9.097222222222221,15.819444444444445,24.416666666666668,8.430555555555555,3.9583333333333335,12.01388888888889,8.680555555555555,4.777777777777778,10.625
64,1,4096,2,606898.67,159463299782,365280178413,18187083,6115.70,74465.42,1013.29,8758.37036529783,20062.667046378596,0.9989082691514218,352.21564764125554,4288.615552132725,5.565399135465782e-05,102.788,184.242,215.273,971269994,18206960,53.346082706832995,0.018745518869596623,1.9854830680932836,"0:953195174, 1:18024291, 2:29787, 3:11400, 4:3104, 5:2055, 6:663, 7:251, 8:192, 9:142, 10:176, 11:163, 12:154, 13:148, 14:168, 15:154, 16:138, 17:158, 18:141, 19:159, 20:161, 21:156, 22:113, 23:142, 24:103, 25:103, 26:100, 27:74, 28:63, 29:81, 30:57, 31:54, 32+:169",96.15277777777777,30.34722222222222,9.722222222222221,18.65277777777778,21.26388888888889,8.583333333333334,5.055555555555555,12.472222222222221,11.63888888888889,4.986111111111111,12.36111111111111
64,1,4096,3,607098.17,159443197655,365960713414,18169899,7861.88,75279.69,1010.74,8754.388528574656,20093.43966089262,0.9976365107475121,452.6329288106183,4334.086320912481,5.549569245668016e-05,102.788,184.242,215.273,973266543,18212945,53.438175045276864,0.018713213899103485,1.9812713870202132,"0:955224132, 1:17981799, 2:34697, 3:14389, 4:3459, 5:2435, 6:702, 7:352, 8:232, 9:247, 10:175, 11:230, 12:231, 13:217, 14:246, 15:233, 16:193, 17:203, 18:220, 19:199, 20:201, 21:183, 22:163, 23:189, 24:163, 25:153, 26:122, 27:149, 28:106, 29:90, 30:93, 31:62, 32+:278",103.79166666666667,35.708333333333336,10.51388888888889,17.48611111111111,25.47222222222222,10.48611111111111,5.986111111111111,13.319444444444445,13.48611111111111,6.402777777777778,14.51388888888889
128,1,4096,1,605787.07,159452803333,325992782145,18143759,4617.46,73908.54,978.28,8773.864130895587,17937.698920348368,0.9983573381100174,266.41691867958383,4264.354318371305,5.38296951985676e-05,207.515,298.667,341.333,822267287,18173612,45.245121718236305,0.022101830253159517,1.9632761392546727,"0:804427333, 1:17590206, 2:226354, 3:11773, 4:4014, 5:1766, 6:899, 7:1562, 8:368, 9:427, 10:438, 11:146, 12:132, 13:134, 14:121, 15:120, 16:110, 17:132, 18:109, 19:103, 20:111, 21:104, 22:97, 23:102, 24:108, 25:79, 26:75, 27:71, 28:55, 29:44, 30:24, 31:45, 32+:125",91.63235294117646,23.08823529411765,8.257352941176471,11.867647058823529,20.095588235294116,7.272058823529412,2.1691176470588234,6.375,5.911764705882353,4.845588235294118,11.014705882352942
