QD,Qpairs,IO_Size,Run_ID,IOPS,Cycles,Instructions,LLC_Misses,Dram_Read_Bytes,Dram_Write_Bytes,Energy_Joules,Cycles_Per_IO,Instr_Per_IO,LLC_Misses_Per_IO,Dram_Read_Bytes_Per_IO,Dram_Write_Bytes_Per_IO,Energy_Per_IO,p50_Latency,p99_Latency,p99.9_Latency,Polls,Completions,Scans_Per_Completion,Completions_Per_Call,MMIO_Writes_Per_IO,Completions_Per_Poll_Hist,Submit_Logic_ns,Completion_Logic_ns,Submit_Preamble_ns,Tracker_Alloc_ns,Addr_Xlate_ns,Cmd_Construct_ns,Fence_ns,Doorbell_ns,CQE_Detect_ns,Tracker_Lookup_ns,State_Dealloc_ns
16,1,4096,1,3903451.3558613504,158644763717,173220236290,4502506505,0,0,0,1354.739257253985,1479.2057976239898,38.448935694127194,0.0,0.0,0.0,4.0,4.667,29.212,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
16,1,4096,2,3911103.3600023254,158662273703,173859111825,4511536098,0,0,0,1352.2379671304627,1481.7567305346167,38.45066794652816,0.0,0.0,0.0,4.0,4.606,29.091,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
16,1,4096,3,3918438.5523643377,158663039806,174204282768,4525540899,0,0,0,1349.7131377349672,1481.9192257324648,38.49782541797884,0.0,0.0,0.0,4.0,4.576,28.97,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
32,1,4096,1,3896936.8480961374,158662989823,171122949518,4499322573,0,0,0,1357.1598754588952,1463.73896719764,38.48597627987531,0.0,0.0,0.0,8.061,10.909,33.455,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
32,1,4096,2,3898152.587651953,158493326758,171160863762,4502495851,0,0,0,1355.2858111989935,1463.6066693419555,38.501108322118235,0.0,0.0,0.0,8.061,10.667,33.455,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
32,1,4096,3,3891732.064960761,158664570721,170969757557,4498588634,0,0,0,1358.9884749906746,1464.3844497614787,38.531160923633266,0.0,0.0,0.0,8.061,10.848,33.455,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
64,1,4096,1,3862157.333247911,158661115604,168665730379,4505266427,0,0,0,1369.3652011372335,1455.7125791416966,38.8838502962735,0.0,0.0,0.0,16.364,20.121,41.455,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
64,1,4096,2,3867709.74992895,158665185748,168912813759,4521819562,0,0,0,1367.4344423157631,1455.7522382343793,38.97069027377305,0.0,0.0,0.0,16.485,20.0,28.606,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
64,1,4096,3,3877338.3770621275,158665923330,169271316794,4527805197,0,0,0,1364.045021783059,1455.2191936216605,38.925372310259334,0.0,0.0,0.0,16.364,20.121,29.333,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
128,1,4096,1,3843116.4104943415,158666340868,167326688062,4487256842,0,0,0,1376.1951145926967,1451.310778279519,38.92029594998054,0.0,0.0,0.0,33.212,37.818,48.97,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
128,1,4096,2,3849951.598418843,158668768921,167624100404,4496426293,0,0,0,1373.772845924994,1451.3091582142006,38.930587203976465,0.0,0.0,0.0,33.212,37.576,46.303,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
