workload,qd,cpl_per_call_base,cpl_per_call_iau,polls_base,polls_iau,poll_reduction_x,scans_per_cpl_base,scans_per_cpl_iau,addr_xlate_ns_base,addr_xlate_ns_iau,cyc_per_io_base,cyc_per_io_iau,host_cyc_freed_per_s,freed_cyc_per_s_per_mW_lo,freed_cyc_per_s_per_mW_hi
read,16,2.29,127.99,333150,8612,38.7,0.4367,0.0078,903.8,774.5,2621.9,1814.6,889823861.0,18159671.0,63558847.0
read,32,2.91,127.99,269249,8600,31.3,0.3431,0.0078,703.5,464.7,2548.9,1817.1,805378984.0,16436306.0,57527070.0
read,64,3.39,127.99,235432,8611,27.3,0.295,0.0078,414.4,312.0,2506.3,1814.7,762182670.0,15554748.0,54441619.0
read,128,3.67,128.0,219100,8609,25.5,0.2726,0.0078,357.3,157.3,2488.1,1815.0,741601861.0,15134732.0,52971562.0
write,16,4.85,6.76,164609,132162,1.2,0.2063,0.148,1065.5,935.9,2506.5,2239.6,238270941.0,4862672.0,17019353.0
write,32,8.2,9.56,100498,99103,1.0,0.122,0.1046,648.9,553.3,2427.6,2110.5,300559645.0,6133870.0,21468546.0
write,64,10.35,12.6,80567,77256,1.0,0.0966,0.0794,497.3,319.8,2398.0,2055.3,333515735.0,6806444.0,23822553.0
write,128,8.79,15.46,94272,63476,1.5,0.1138,0.0647,345.7,153.2,2414.1,2038.5,368531841.0,7521058.0,26323703.0
rw50,16,4.85,6.69,164687,133494,1.2,0.2062,0.1495,1065.5,935.9,2504.7,2239.3,237105187.0,4838881.0,16936085.0
rw50,32,8.19,9.63,100733,98413,1.0,0.1222,0.1039,799.6,588.4,2425.6,2110.8,298286198.0,6087473.0,21306157.0
rw50,64,10.63,12.74,78552,76376,1.0,0.094,0.0785,500.7,297.1,2394.6,2055.4,330125941.0,6737264.0,23580424.0
rw50,128,8.95,15.51,92710,63286,1.5,0.1118,0.0645,357.3,149.0,2411.4,2037.3,367254571.0,7494991.0,26232469.0
