cid,qid,t_start,t_sqe_copy,t_doorbell,t_completion,t_end,t_poll_cycles,submit_ns,completion_ns,submit_preamble_ns,tracker_alloc_ns,addr_xlate_ns,cmd_construct_ns,fence_ns,doorbell_ns,cqe_detect_ns,tracker_lookup_ns,state_dealloc_ns
191,0,25012689452,25012768503,25012768623,25012773643,25012773878,724,39583,117,73,19587,19802,60,31,18,20,11,84
191,0,25013011864,25013012708,25013012828,25013014762,25013037344,412,481,11290,73,264,22,60,31,18,20,11,11257
191,0,25013041966,25013042810,25013042930,25013044870,25013045105,412,481,117,73,264,22,60,31,18,20,11,84
191,0,25013232085,25013233232,25013233352,25013238380,25013238615,724,633,117,73,264,174,60,31,18,20,11,84
191,0,25013295657,25013296804,25013296924,25013301949,25013302184,724,633,117,73,264,174,60,31,18,20,11,84
190,0,25022177767,25022178611,25022178731,25022182739,25022182974,3378,481,117,73,264,22,60,31,18,20,11,84
1255,1,27022136199,27022136567,27022136601,27022410460,27022410669,1788697869,200,104,73,61,0,65,0,0,20,11,71
3100,1,27022178147,27022178515,27022178549,27022413621,27022413830,1788701030,200,104,73,61,0,65,0,0,20,11,71
294,1,27022268794,27022269162,27022269196,27022416732,27022416941,1788704141,200,104,73,61,0,65,0,0,20,11,71
2295,1,27021993276,27021993644,27021993678,27022419896,27022420105,1788707305,200,104,73,61,0,65,0,0,20,11,71
2508,1,27022153364,27022153732,27022153766,27022423097,27022423306,1788710506,200,104,73,61,0,65,0,0,20,11,71
1889,1,27022186712,27022187080,27022187114,27022426261,27022426470,1788713670,200,104,73,61,0,65,0,0,20,11,71
2485,1,27022291100,27022291468,27022291502,27022429425,27022429634,1788716834,200,104,73,61,0,65,0,0,20,11,71
436,1,27022011201,27022011569,27022011603,27022432589,27022432798,1788719998,200,104,73,61,0,65,0,0,20,11,71
3480,1,27022191858,27022192226,27022192260,27022435753,27022435962,1788723162,200,104,73,61,0,65,0,0,20,11,71
2488,1,27022198726,27022199094,27022199128,27022438917,27022439126,1788726326,200,104,73,61,0,65,0,0,20,11,71
2941,1,27022292817,27022293185,27022293219,27022442110,27022442319,1788729519,200,104,73,61,0,65,0,0,20,11,71
801,1,27022021513,27022021881,27022021915,27022445274,27022445483,1788732683,200,104,73,61,0,65,0,0,20,11,71
256,1,27022195297,27022195665,27022195699,27022448438,27022448647,1788735847,200,104,73,61,0,65,0,0,20,11,71
2698,1,27022203882,27022204250,27022204284,27022451602,27022451811,1788739011,200,104,73,61,0,65,0,0,20,11,71
2344,1,27022294524,27022294892,27022294926,27022454766,27022454975,1788742175,200,104,73,61,0,65,0,0,20,11,71
2207,1,27022024947,27022025315,27022025349,27022457930,27022458139,1788745339,200,104,73,61,0,65,0,0,20,11,71
2490,1,27022202165,27022202533,27022202567,27022461123,27022461332,1788748532,200,104,73,61,0,65,0,0,20,11,71
638,1,27022214179,27022214547,27022214581,27022464287,27022464496,1788751696,200,104,73,61,0,65,0,0,20,11,71
2023,1,27022299680,27022300048,27022300082,27022467398,27022467607,1788754807,200,104,73,61,0,65,0,0,20,11,71
3378,1,27022026664,27022027032,27022027066,27022470562,27022470771,1788757971,200,104,73,61,0,65,0,0,20,11,71
3194,1,27022205599,27022205967,27022206001,27022473755,27022473964,1788761164,200,104,73,61,0,65,0,0,20,11,71
2149,1,27022215891,27022216259,27022216293,27022476919,27022477128,1788764328,200,104,73,61,0,65,0,0,20,11,71
942,1,27022303114,27022303482,27022303516,27022480083,27022480292,1788767492,200,104,73,61,0,65,0,0,20,11,71
847,1,27022031810,27022032178,27022032212,27022483247,27022483456,1788770656,200,104,73,61,0,65,0,0,20,11,71
2009,1,27022212462,27022212830,27022212864,27022486411,27022486620,1788773820,200,104,73,61,0,65,0,0,20,11,71
2363,1,27022224471,27022224839,27022224873,27022489575,27022489784,1788776984,200,104,73,61,0,65,0,0,20,11,71
3694,1,27022304826,27022305194,27022305228,27022492739,27022492948,1788780148,200,104,73,61,0,65,0,0,20,11,71
3579,1,27022042107,27022042475,27022042509,27022495903,27022496112,1788783312,200,104,73,61,0,65,0,0,20,11,71
3778,1,27022217608,27022217976,27022218010,27022499067,27022499276,1788786476,200,104,73,61,0,65,0,0,20,11,71
3748,1,27022226188,27022226556,27022226590,27022502231,27022502440,1788789640,200,104,73,61,0,65,0,0,20,11,71
2855,1,27022313416,27022313784,27022313818,27022505395,27022505604,1788792804,200,104,73,61,0,65,0,0,20,11,71
3248,1,27022045536,27022045904,27022045938,27022508559,27022508768,1788795968,200,104,73,61,0,65,0,0,20,11,71
391,1,27022270506,27022270874,27022270908,27022511752,27022511961,1788799161,200,104,73,61,0,65,0,0,20,11,71
2734,1,27022227905,27022228273,27022228307,27022514910,27022515119,1788802319,200,104,73,61,0,65,0,0,20,11,71
712,1,27022316850,27022317218,27022317252,27022518021,27022518230,1788805430,200,104,73,61,0,65,0,0,20,11,71
1392,1,27022054116,27022054484,27022054518,27022521185,27022521394,1788808594,200,104,73,61,0,65,0,0,20,11,71
2572,1,27022272223,27022272591,27022272625,27022524349,27022524558,1788811758,200,104,73,61,0,65,0,0,20,11,71
2745,1,27022251634,27022252002,27022252036,27022527513,27022527722,1788814922,200,104,73,61,0,65,0,0,20,11,71
2882,1,27022339926,27022340294,27022340328,27022530677,27022530886,1788818086,200,104,73,61,0,65,0,0,20,11,71
1228,1,27022055828,27022056196,27022056230,27022533881,27022534090,1788821290,200,104,73,61,0,65,0,0,20,11,71
2640,1,27022284227,27022284595,27022284629,27022537045,27022537254,1788824454,200,104,73,61,0,65,0,0,20,11,71
806,1,27022253351,27022253719,27022253753,27022540209,27022540418,1788827618,200,104,73,61,0,65,0,0,20,11,71
2720,1,27022341643,27022342011,27022342045,27022543373,27022543582,1788830782,200,104,73,61,0,65,0,0,20,11,71
774,1,27022076423,27022076791,27022076825,27022546537,27022546746,1788833946,200,104,73,61,0,65,0,0,20,11,71
3050,1,27022289378,27022289746,27022289780,27022549515,27022549724,1788836924,200,104,73,61,0,65,0,0,20,11,71
490,1,27022261931,27022262299,27022262333,27022552679,27022552888,1788840088,200,104,73,61,0,65,0,0,20,11,71
3353,1,27022348506,27022348874,27022348908,27022555843,27022556052,1788843252,200,104,73,61,0,65,0,0,20,11,71
1210,1,27022078133,27022078501,27022078535,27022559076,27022559285,1788846485,200,104,73,61,0,65,0,0,20,11,71
2444,1,27022296241,27022296609,27022296643,27022562240,27022562449,1788849649,200,104,73,61,0,65,0,0,20,11,71
2081,1,27022263653,27022264021,27022264055,27022565444,27022565653,1788852853,200,104,73,61,0,65,0,0,20,11,71
1150,1,27022357101,27022357469,27022357503,27022568608,27022568817,1788856017,200,104,73,61,0,65,0,0,20,11,71
3774,1,27022098450,27022098818,27022098852,27022571772,27022571981,1788859181,200,104,73,61,0,65,0,0,20,11,71
3132,1,27022301397,27022301765,27022301799,27022574936,27022575145,1788862345,200,104,73,61,0,65,0,0,20,11,71
704,1,27022273935,27022274303,27022274337,27022578100,27022578309,1788865509,200,104,73,61,0,65,0,0,20,11,71
1497,1,27022365681,27022366049,27022366083,27022581293,27022581502,1788868702,200,104,73,61,0,65,0,0,20,11,71
3074,1,27022100167,27022100535,27022100569,27022584457,27022584666,1788871866,200,104,73,61,0,65,0,0,20,11,71
1217,1,27022308260,27022308628,27022308662,27022587621,27022587830,1788875030,200,104,73,61,0,65,0,0,20,11,71
2537,1,27022277364,27022277732,27022277766,27022590785,27022590994,1788878194,200,104,73,61,0,65,0,0,20,11,71
1103,1,27022374266,27022374634,27022374668,27022593989,27022594198,1788881398,200,104,73,61,0,65,0,0,20,11,71
1853,1,27022107025,27022107393,27022107427,27022597153,27022597362,1788884562,200,104,73,61,0,65,0,0,20,11,71
3820,1,27022311699,27022312067,27022312101,27022600317,27022600526,1788887726,200,104,73,61,0,65,0,0,20,11,71
1472,1,27022279076,27022279444,27022279478,27022603481,27022603690,1788890890,200,104,73,61,0,65,0,0,20,11,71
1723,1,27022384568,27022384936,27022384970,27022606645,27022606854,1788894054,200,104,73,61,0,65,0,0,20,11,71
2340,1,27022125897,27022126265,27022126299,27022609809,27022610018,1788897218,200,104,73,61,0,65,0,0,20,11,71
2311,1,27022331341,27022331709,27022331743,27022612973,27022613182,1788900382,200,104,73,61,0,65,0,0,20,11,71
435,1,27022297958,27022298326,27022298360,27022616137,27022616346,1788903546,200,104,73,61,0,65,0,0,20,11,71
1584,1,27022127614,27022127982,27022128016,27022619341,27022619550,1788906750,200,104,73,61,0,65,0,0,20,11,71
259,1,27022334785,27022335153,27022335187,27022622502,27022622711,1788909911,200,104,73,61,0,65,0,0,20,11,71
1105,1,27022306543,27022306911,27022306945,27022625666,27022625875,1788913075,200,104,73,61,0,65,0,0,20,11,71
2334,1,27022132765,27022133133,27022133167,27022628870,27022629079,1788916279,200,104,73,61,0,65,0,0,20,11,71
2222,1,27022336497,27022336865,27022336899,27022632109,27022632318,1788919518,200,104,73,61,0,65,0,0,20,11,71
333,1,27022309977,27022310345,27022310379,27022635273,27022635482,1788922682,200,104,73,61,0,65,0,0,20,11,71
311,1,27022134482,27022134850,27022134884,27022638437,27022638646,1788925846,200,104,73,61,0,65,0,0,20,11,71
1192,1,27022338214,27022338582,27022338616,27022641641,27022641850,1788929050,200,104,73,61,0,65,0,0,20,11,71
364,1,27022345072,27022345440,27022345474,27022644805,27022645014,1788932214,200,104,73,61,0,65,0,0,20,11,71
424,1,27022146496,27022146864,27022146898,27022647969,27022648178,1788935378,200,104,73,61,0,65,0,0,20,11,71
3500,1,27022350228,27022350596,27022350630,27022651133,27022651342,1788938542,200,104,73,61,0,65,0,0,20,11,71
2657,1,27022346789,27022347157,27022347191,27022654297,27022654506,1788941706,200,104,73,61,0,65,0,0,20,11,71
1451,1,27022149930,27022150298,27022150332,27022657501,27022657710,1788944910,200,104,73,61,0,65,0,0,20,11,71
1449,1,27022351950,27022352318,27022352352,27022660694,27022660903,1788948103,200,104,73,61,0,65,0,0,20,11,71
1184,1,27022362252,27022362620,27022362654,27022663858,27022664067,1788951267,200,104,73,61,0,65,0,0,20,11,71
2716,1,27022156793,27022157161,27022157195,27022667022,27022667231,1788954431,200,104,73,61,0,65,0,0,20,11,71
2396,1,27022353667,27022354035,27022354069,27022670239,27022670448,1788957648,200,104,73,61,0,65,0,0,20,11,71
985,1,27022369115,27022369483,27022369517,27022673400,27022673609,1788960809,200,104,73,61,0,65,0,0,20,11,71
995,1,27022176430,27022176798,27022176832,27022676593,27022676802,1788964002,200,104,73,61,0,65,0,0,20,11,71
1754,1,27022358823,27022359191,27022359225,27022679757,27022679966,1788967166,200,104,73,61,0,65,0,0,20,11,71
1190,1,27022372549,27022372917,27022372951,27022682921,27022683130,1788970330,200,104,73,61,0,65,0,0,20,11,71
3031,1,27022183288,27022183656,27022183690,27022686154,27022686363,1788973563,200,104,73,61,0,65,0,0,20,11,71
2136,1,27022360540,27022360908,27022360942,27022689318,27022689527,1788976727,200,104,73,61,0,65,0,0,20,11,71
1933,1,27022379417,27022379785,27022379819,27022692482,27022692691,1788979891,200,104,73,61,0,65,0,0,20,11,71
2399,1,27022185000,27022185368,27022185402,27022695646,27022695855,1788983055,200,104,73,61,0,65,0,0,20,11,71
1220,1,27022367398,27022367766,27022367800,27022698810,27022699019,1788986219,200,104,73,61,0,65,0,0,20,11,71
1389,1,27022388002,27022388370,27022388404,27022701974,27022702183,1788989383,200,104,73,61,0,65,0,0,20,11,71
3490,1,27022188424,27022188792,27022188826,27022705138,27022705347,1788992547,200,104,73,61,0,65,0,0,20,11,71
2042,1,27022375983,27022376351,27022376385,27022708328,27022708537,1788995737,200,104,73,61,0,65,0,0,20,11,71
3621,1,27022393153,27022393521,27022393555,27022711492,27022711701,1788998901,200,104,73,61,0,65,0,0,20,11,71
2390,1,27022190141,27022190509,27022190543,27022714728,27022714937,1789002137,200,104,73,61,0,65,0,0,20,11,71
2615,1,27022382851,27022383219,27022383253,27022717967,27022718176,1789005376,200,104,73,61,0,65,0,0,20,11,71
2479,1,27022394870,27022395238,27022395272,27022721128,27022721337,1789008537,200,104,73,61,0,65,0,0,20,11,71
3753,1,27022197014,27022197382,27022197416,27022724292,27022724501,1789011701,200,104,73,61,0,65,0,0,20,11,71
2364,1,27022389719,27022390087,27022390121,27022727456,27022727665,1789014865,200,104,73,61,0,65,0,0,20,11,71
375,1,27022396582,27022396950,27022396984,27022730702,27022730911,1789018111,200,104,73,61,0,65,0,0,20,11,71
1999,1,27022200448,27022200816,27022200850,27022733938,27022734147,1789021347,200,104,73,61,0,65,0,0,20,11,71
3952,1,27022398292,27022398660,27022398694,27022737102,27022737311,1789024511,200,104,73,61,0,65,0,0,20,11,71
3121,1,27022209033,27022209401,27022209435,27022740312,27022740521,1789027721,200,104,73,61,0,65,0,0,20,11,71
2786,1,27022222754,27022223122,27022223156,27022743565,27022743774,1789030974,200,104,73,61,0,65,0,0,20,11,71
826,1,27022231334,27022231702,27022231736,27022746726,27022746935,1789034135,200,104,73,61,0,65,0,0,20,11,71
2765,1,27022233046,27022233414,27022233448,27022749890,27022750099,1789037299,200,104,73,61,0,65,0,0,20,11,71
1065,1,27022238190,27022238558,27022238592,27022753051,27022753260,1789040460,200,104,73,61,0,65,0,0,20,11,71
1247,1,27022255068,27022255436,27022255470,27022756215,27022756424,1789043624,200,104,73,61,0,65,0,0,20,11,71
672,1,27022256785,27022257153,27022257187,27022759376,27022759585,1789046785,200,104,73,61,0,65,0,0,20,11,71
3167,1,27022260214,27022260582,27022260616,27022762540,27022762749,1789049949,200,104,73,61,0,65,0,0,20,11,71
3807,1,27022275652,27022276020,27022276054,27022765704,27022765913,1789053113,200,104,73,61,0,65,0,0,20,11,71
833,1,27022280798,27022281166,27022281200,27022768868,27022769077,1789056277,200,104,73,61,0,65,0,0,20,11,71
3186,1,27022282510,27022282878,27022282912,27022772121,27022772330,1789059530,200,104,73,61,0,65,0,0,20,11,71
3255,1,27022285944,27022286312,27022286346,27022775285,27022775494,1789062694,200,104,73,61,0,65,0,0,20,11,71
266,1,27022287661,27022288029,27022288063,27022778475,27022778684,1789065884,200,104,73,61,0,65,0,0,20,11,71
3785,1,27022315133,27022315501,27022315535,27022781639,27022781848,1789069048,200,104,73,61,0,65,0,0,20,11,71
3492,1,27022318560,27022318928,27022318962,27022784885,27022785094,1789072294,200,104,73,61,0,65,0,0,20,11,71
1335,1,27022333063,27022333431,27022333465,27022788125,27022788334,1789075534,200,104,73,61,0,65,0,0,20,11,71
3955,1,27022343360,27022343728,27022343762,27022791378,27022791587,1789078787,200,104,73,61,0,65,0,0,20,11,71
1920,1,27022355384,27022355752,27022355786,27022794624,27022794833,1789082033,200,104,73,61,0,65,0,0,20,11,71
3234,1,27022363969,27022364337,27022364371,27022797822,27022798031,1789085231,200,104,73,61,0,65,0,0,20,11,71
1616,1,27022370832,27022371200,27022371234,27022801068,27022801277,1789088477,200,104,73,61,0,65,0,0,20,11,71
202,1,27022377700,27022378068,27022378102,27022804314,27022804523,1789091723,200,104,73,61,0,65,0,0,20,11,71
212,1,27022381134,27022381502,27022381536,27022807471,27022807680,1789094880,200,104,73,61,0,65,0,0,20,11,71
351,1,27022386290,27022386658,27022386692,27022868228,27022868437,1789154991,200,104,73,61,0,65,0,0,20,11,71
3087,1,27022391436,27022391804,27022391838,27022871474,27022871683,1789158237,200,104,73,61,0,65,0,0,20,11,71
190,0,27023088276,27023089120,27023089240,27023091013,27023091248,409,481,117,73,264,22,60,31,18,20,11,84
190,0,27023095523,27023096367,27023096487,27023098260,27023098495,409,481,117,73,264,22,60,31,18,20,11,84
