workload,qd,baseline_iops,iau_iops,iops_gain,baseline_submit+compl_ns,iau_submit+compl_ns,ns_reduction_pct,baseline_p99_us,iau_p99_us
read,16,762798.5,1102176.6,1.4449,8505.0,2359.5,72.3,28.415,19.711
read,32,784665.7,1100642.4,1.4027,16612.8,1536.5,90.8,52.477,33.534
read,64,797996.1,1102105.4,1.3811,36366.4,1096.5,97.0,99.323,64.253
read,128,803840.0,1101904.6,1.3708,73887.7,707.8,99.0,190.454,119.29
write,16,797940.6,893003.6,1.1191,5722.0,2681.5,53.1,41.726,47.102
write,32,823850.5,947658.6,1.1503,9551.3,1743.8,81.7,68.093,95.739
write,64,834019.7,973099.0,1.1668,26608.9,1112.1,95.8,111.098,198.646
write,128,828449.2,981104.2,1.1843,69756.8,691.1,99.0,193.526,434.154
rw50,16,798491.6,893154.8,1.1186,5685.1,2681.5,52.8,41.726,47.102
rw50,32,824527.8,947500.4,1.1491,14502.3,1784.1,87.7,68.093,95.739
rw50,64,835208.1,973070.0,1.1651,25342.1,1070.6,95.8,110.586,197.622
rw50,128,829395.8,981695.4,1.1836,61865.1,693.2,98.9,193.526,434.154
