cid,qid,t_start,t_sqe_copy,t_doorbell,t_completion,t_end,t_poll_cycles,submit_ns,completion_ns,submit_preamble_ns,tracker_alloc_ns,addr_xlate_ns,cmd_construct_ns,fence_ns,doorbell_ns,cqe_detect_ns,tracker_lookup_ns,state_dealloc_ns
191,0,21013021441,21013112075,21013112195,21013117211,21013117438,724,45374,113,73,22358,22825,56,31,18,20,11,80
191,0,21013375151,21013375974,21013376094,21013378026,21013418307,412,471,20139,73,261,19,56,31,18,20,11,20106
191,0,21013422929,21013423752,21013423872,21013425810,21013426037,412,471,113,73,261,19,56,31,18,20,11,80
191,0,21013584486,21013585612,21013585732,21013590756,21013590983,724,622,113,73,261,170,56,31,18,20,11,80
191,0,21013645883,21013647009,21013647129,21013652150,21013652377,724,622,113,73,261,170,56,31,18,20,11,80
190,0,21022528636,21022529459,21022529579,21022533579,21022533806,3349,471,113,73,261,19,56,31,18,20,11,80
3959,1,23022565494,23022566271,23022584739,23022727315,23022727538,269259,9622,111,73,60,196,56,0,0,20,11,78
3939,1,23022543914,23022544691,23022584739,23022730455,23022730678,272399,20411,111,73,60,196,56,0,0,20,11,78
3957,1,23022567652,23022568429,23022584739,23022733651,23022733874,275595,8543,111,73,60,196,56,0,0,20,11,78
3924,1,23022563336,23022564113,23022584739,23022736847,23022737070,278791,10700,111,73,60,196,56,0,0,20,11,78
3937,1,23022571968,23022572745,23022584739,23022740043,23022740266,281987,6385,111,73,60,196,56,0,0,20,11,78
3929,1,23022569810,23022570587,23022584739,23022743239,23022743462,285183,7464,111,73,60,196,56,0,0,20,11,78
3964,1,23022603118,23022603895,23022723504,23022746435,23022746658,145017,60189,111,73,60,196,56,0,0,20,11,78
3935,1,23022605281,23022606058,23022723504,23022749631,23022749854,148213,59108,111,73,60,196,56,0,0,20,11,78
3961,1,23022590777,23022591554,23022596689,23022752827,23022753050,162324,2955,111,73,60,196,56,0,0,20,11,78
3953,1,23022576295,23022577072,23022584739,23022756023,23022756246,297967,4221,111,73,60,196,56,0,0,20,11,78
3950,1,23022616060,23022616837,23022723504,23022759219,23022759442,157801,53719,111,73,60,196,56,0,0,20,11,78
3966,1,23022609598,23022610375,23022723504,23022762415,23022762638,160997,56950,111,73,60,196,56,0,0,20,11,78
3960,1,23022595089,23022595866,23022596689,23022765640,23022765863,175137,799,111,73,60,196,56,0,0,20,11,78
3948,1,23022600960,23022601737,23022723504,23022768783,23022769006,167365,61268,111,73,60,196,56,0,0,20,11,78
3931,1,23022622557,23022623334,23022723504,23022771979,23022772202,170561,50470,111,73,60,196,56,0,0,20,11,78
3936,1,23022620394,23022621171,23022723504,23022775145,23022775368,173727,51552,111,73,60,196,56,0,0,20,11,78
