cid,qid,t_start,t_sqe_copy,t_doorbell,t_completion,t_end,t_poll_cycles,submit_ticks,wait_ticks,completion_ticks,total_ticks,ticks_hz
191,0,5148173690237,5148173694692,5148173696429,5148175039595,5148175040126,108586,6192,108586,531,115309,2112000000
191,0,5148176393884,5148176394336,5148176394426,5148182345660,5148182345886,430551,542,430551,226,431319,2112000000
191,0,5148182460396,5148182461606,5148182461661,5148182559954,5148182560071,7290,1265,7290,117,8672,2112000000
191,0,5148182617444,5148182617818,5148182617931,5148183214210,5148183214355,44446,487,44446,145,45078,2112000000
191,0,5148183339677,5148183340290,5148183340364,5148183439765,5148183439910,8497,687,8497,145,9329,2112000000
182,0,5148268279927,5148268280164,5148268280308,5148269788064,5148269788129,103100,381,103100,65,103546,2112000000
32634,1,5211629760316,5211629760346,5211629760375,5211629948937,5211629948961,59719,59,59719,24,59802,2112000000
32630,1,5211629813193,5211629813223,5211629813248,5211630008779,5211630008803,96089,55,96089,24,96168,2112000000
32623,1,5211629814888,5211629814916,5211629814937,5211630020690,5211630020722,107337,49,107337,32,107418,2112000000
32625,1,5211629816576,5211629816607,5211629816627,5211630028709,5211630028738,114634,51,114634,29,114714,2112000000
32632,1,5211629818214,5211629818243,5211629818269,5211630036002,5211630036026,121219,55,121219,24,121298,2112000000
32627,1,5211629878951,5211629878991,5211629879010,5211630043407,5211630043433,113886,59,113886,26,113971,2112000000
32631,1,5211629880140,5211629880201,5211629880224,5211630050970,5211630050991,120863,84,120863,21,120968,2112000000
32628,1,5211629883273,5211629883302,5211629883336,5211630063606,5211630063641,132165,63,132165,35,132263,2112000000
32633,1,5211629885648,5211629885675,5211629885701,5211630115267,5211630115304,182595,53,182595,37,182685,2112000000
32635,1,5211629886887,5211629886917,5211629886950,5211630122580,5211630122617,189317,63,189317,37,189417,2112000000
32636,1,5211629887856,5211629887883,5211629887909,5211630131099,5211630131128,197198,53,197198,29,197280,2112000000
32638,1,5211629888726,5211629888783,5211629888802,5211630139406,5211630139447,204932,76,204932,41,205049,2112000000
32629,1,5211629819711,5211629819742,5211629819773,5211630151427,5211630151473,236029,62,236029,46,236137,2112000000
32624,1,5211629811527,5211629811555,5211629811580,5211630177992,5211630178030,266046,53,266046,38,266137,2112000000
32637,1,5211629881674,5211629881703,5211629881737,5211630185571,5211630185594,254795,63,254795,23,254881,2112000000
32626,1,5211629884422,5211629884461,5211629884481,5211630193620,5211630193656,261535,59,261535,36,261630,2112000000
182,0,5211630218074,5211630218319,5211630218382,5211632106167,5211632106208,1606737,308,1606737,41,1607086,2112000000
182,0,5211632120636,5211632120671,5211632120693,5211633647035,5211633647062,1311809,57,1311809,27,1311893,2112000000
190,0,5148176376190,5148176376885,5148176377030,5211663139461,5211663139471,0,840,63486762431,10,63486763281,2112000000
189,0,5148176377474,5148176378160,5148176378244,5211663163411,5211663163421,0,770,63486785167,10,63486785947,2112000000
188,0,5148176378488,5148176379611,5148176379831,5211663172624,5211663172648,0,1343,63486792793,24,63486794160,2112000000
187,0,5148176379961,5148176381085,5148176381175,5211663180004,5211663180037,0,1214,63486798829,33,63486800076,2112000000
186,0,5148176381375,5148176382471,5148176382695,5211663187448,5211663187598,0,1320,63486804753,150,63486806223,2112000000
185,0,5148176382839,5148176383872,5148176384004,5211663194665,5211663194803,0,1165,63486810661,138,63486811964,2112000000
184,0,5148176384184,5148176385347,5148176385481,5211663201293,5211663201310,0,1297,63486815812,17,63486817126,2112000000
183,0,5148176385661,5148176386765,5148176386883,5211663207983,5211663208093,0,1222,63486821100,110,63486822432,2112000000
cid,qid,t_start,t_sqe_copy,t_doorbell,t_completion,t_end,t_poll_cycles,submit_ticks,wait_ticks,completion_ticks,total_ticks,ticks_hz
191,0,5213086577397,5213086581412,5213086583274,5213087921416,5213087921841,94732,5877,94732,425,101034,2112000000
191,0,5213089170521,5213089170686,5213089170775,5213095125016,5213095125043,415326,254,415326,27,415607,2112000000
191,0,5213095142093,5213095142170,5213095142198,5213095234091,5213095234116,6568,105,6568,25,6698,2112000000
191,0,5213095248892,5213095248970,5213095248996,5213095835669,5213095835693,41768,104,41768,24,41896,2112000000
191,0,5213095848537,5213095848584,5213095848616,5213095937205,5213095937230,6385,79,6385,25,6489,2112000000
182,0,5213139673486,5213139673558,5213139673627,5213141182776,5213141182811,103295,141,103295,35,103471,2112000000
32636,1,5276501166278,5276501166306,5276501166337,5276501289967,5276501289991,35023,59,35023,24,35106,2112000000
